2003,"Coupling",Stage 42 Universal Studios - 100 Universal City Plaza Universal City California 
2007,"Cranford",Laundry Cottage Heckfield Hampshire England 
2017,"Crappy Night",47 Montgomery St Rouses Point New York 
2006,"Crashed!",Jim Henson Creature Shop - 1416 N. La Brea Avenue Hollywood Los Angeles California 
2006,"Cricket on Five",The Oval Kennington London England 
2003,"Crittercam",French Frigate Shoals Outer Islands Hawaii 
2008,"Crooked House",Windsor Berkshire England 
2001,"Crossing Jordan",Stage 36 Universal Studios - 100 Universal City Plaza Universal City California 
2001,"Crossroads",Central TV Studios Lenton Lane Nottingham Nottinghamshire England 
1949,"Crusader Rabbit",111 Sutter Street San Francisco California 
2016,"Cyanide Kiss",Manchester Greater Manchester England 
2008,"Czas honoru",Sniegockiej Solec Sródmiescie Warsaw Mazowieckie 
2012,"Córtate",Málaga Málaga Andalucía 
1969,"D'Artagnan",Château de la Roche Courbon Saint-Porchaire Charente-Maritime 
2000,"DAG",Studio City Los Angeles California 
2012,"DNOiSE Street Marketing",Málaga Málaga Andalucía 
1997,"DR-Derude: Bag kulisserne i zoo",Aalborg Zoo Aalborg Jylland 
2013,"Da Vinci's Demons",Margam Castle Margam Neath Port Talbot Wales 
1968,"Dad's Army",Beccles Suffolk England 
1968,"Dad's Army",Red House West Tofts Norfolk England 
1976,"Daleko od szosy",Lódz Kaliska Station Lódz Lódzkie 
1978,"Dallas",Cloyce Box Ranch - 10514 E.Main St. Frisco Texas 
2008,"Dance War: Bruno vs. Carrie Ann",Nashville Fairgrounds - 625 Smith Avenue Nashville Tennessee 
2013,"Dancing on the Edge",Black Country Museum Dudley West Midlands England 
2002,"Daniel Deronda",Greys Court Henley-on-Thames Oxfordshire England 
2016,"Dark Angel",Castlegate House Castlegate York North Yorkshire England 
2008,"Date Me, Marry Me.",Hemel Hempstead Hertfordshire England 
2013,"Datinghjelpen",Rosenkrantzgaten 6 Bergen Hordaland 
1999,"David Copperfield",Benacre Beach Benacre Suffolk England 
1998,"Dawson's Creek",212 North Front Street Wilmington North Carolina 
2004,"De Pfaffs",Brasschaat Antwerp Flanders 
1990,"De uitdaging",Huize Sint Joseph Heel Limburg 
1968,"Dean Martin Presents the Golddiggers",NBC Studios - 3000 W. Alameda Avenue Burbank California 
2014,"Dear Internet",Chinatown Fortitude Valley Queensland 
1954,"Dear Phoebe",American National Studios Hollywood Los Angeles California 
2013,"Death Comes to Pemberley",Stang End Cottage Ryedale Open Air Folk Museum Hutton-le-Hole North Yorkshire England 
1952,"Death Valley Days",Old Tucson - 201 S. Kinney Road Tucson Arizona 
1952,"Death Valley Days",Johnson Canyon Kanab Utah 
2002,"Death on Eagles Rock",Dunbeath Caithness Highland Scotland 
1954,"December Bride",Desilu Studios - 9336 W. Washington Blvd. Culver City California 
2016,"Den anden verden",Nyborg Slot Nyborg Fyn 
2006,"Der Kommunismus - Geschichte einer Illusion",Bavaria Studios Bavariafilmplatz 7 Geiselgasteig Grünwald Bavaria 
2004,"Desperate Housewives",Stage 4 Universal Studios - 100 Universal City Plaza Universal City California 
2013,"Destroy the Alpha Gammas",Chapman University - One University Drive Orange California 
2015,"Detectives Club",Adler Planetarium Chicago Illinois 
2008,"Determinator",Plac Litewski Lublin Lubelskie 
1973,"Diana",CBS Studio Center - 4024 Radford Avenue Studio City Los Angeles California 
2009,"Die Gerichtsvollzieher - Klingeln, Klopfen und Kassieren",Hessen 
2006,"Die Ostfriesland Saga",Spetzerfehn Großefehn Lower Saxony 
2005,"Die harte Schule der 50er Jahre",Schloss Salem Salem Baden-Württemberg 
2006,"Diners, Drive-ins and Dives",Tennessee 
2001,"Dinner for Five",Manhattan New York City New York 
2005,"Disaster Masters",Carlisle Cumbria England 
2015,"Disturbances",Astoria Queens New York City New York 
2006,"Divinos",Maresme Barcelona Catalonia 
2011,"Doc Martin",Doëlan Clohars-Carnoët Finistère 
2005,"Dolmen",Château de Kerouartz Lannilis Finistère 
1980,"Dom",Marszalkowska Sródmiescie Warsaw Mazowieckie 
2015,"Donny!",Baruch College Manhattan New York City New York 
2009,"Doreczyciel",Veterinary Institute Grochowska Grochów Praga Poludnie Warsaw Mazowieckie 
1958,"Dotto",CBS-TV Manhattan New York City New York 
2010,"Downton Abbey",Horsted Keynes station Bluebell Railway West Sussex England 
2008,"DragonSlash Explosion Force: Time Splitter's Requiem",Van Nuys Los Angeles California 
1968,"Dream House",Colonial Theater Manhattan New York City New York 
